                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2651,                 3.9954,                 1.0004,                0.67378,                0.47763,                0.46552,                0.29701,                 1.3421,                 2.7117,                 1.0215,              0.0006631,              0.0006631,              0.0006631
                      2,                   1.43,                 2.4185,                 1.0978,                0.59268,                0.50017,                0.47221,                0.25712,                 1.3938,                 2.0844,                 1.0762,              0.0011981,              0.0011981,              0.0011981
                      3,                 1.4045,                 1.8215,                 1.0898,                0.61112,                0.50469,                 0.4846,                0.30279,                 1.3714,                 1.6257,                 1.0597,              0.0016011,              0.0016011,              0.0016011
                      4,                  1.364,                 1.5914,                 1.0895,                0.63194,                0.53594,                 0.5297,                0.33247,                 1.2978,                 1.4455,                 1.0296,               0.001406,               0.001406,               0.001406
                      5,                 1.2905,                 1.4645,                 1.0549,                0.66515,                0.58437,                0.56144,                 0.3569,                  1.248,                 1.3461,                 1.0236,               0.001406,               0.001406,               0.001406
                      6,                 1.2651,                 1.3921,                 1.0532,                0.66754,                0.58667,                0.55801,                0.35052,                 1.2453,                 1.3545,                 1.0084,               0.001208,               0.001208,               0.001208
                      7,                 1.2358,                 1.3071,                 1.0431,                0.67856,                0.59219,                0.57883,                0.37264,                 1.1713,                 1.3168,                0.99155,                0.00101,                0.00101,                0.00101
                      8,                 1.1878,                 1.2102,                 1.0165,                0.69101,                0.59054,                0.60322,                0.40214,                  1.151,                 1.2603,                0.98559,               0.000812,               0.000812,               0.000812
                      9,                 1.1301,                 1.1666,                0.99105,                0.73754,                0.60469,                0.61927,                0.42083,                  1.117,                 1.1893,                0.98277,               0.000614,               0.000614,               0.000614
                     10,                 1.1186,                 1.1022,                0.98463,                0.76357,                0.60625,                0.63635,                0.43904,                 1.0637,                 1.1068,                0.95003,               0.000416,               0.000416,               0.000416
